iteration,distance,nb_vehicles,time_s
0,1130,25,0.0
1,1053,24,0.00011038780212402344
2,979,23,0.00022602081298828125
3,907,22,0.0002834796905517578
4,838,21,0.00033545494079589844
5,773,20,0.0003902912139892578
6,711,19,0.0004398822784423828
7,673,18,0.0005769729614257812
8,636,17,0.0006315708160400391
9,599,16,0.0006756782531738281
10,562,15,0.0007207393646240234
11,527,14,0.0007686614990234375
12,492,13,0.0008189678192138672
13,461,12,0.0009119510650634766
14,430,11,0.0009493827819824219
15,400,10,0.0010023117065429688
16,370,9,0.001043558120727539
17,342,8,0.0010950565338134766
18,318,7,0.001165151596069336
19,298,6,0.0012288093566894531
20,278,5,0.0012705326080322266
21,261,4,0.001316070556640625
