iteration,distance,nb_vehicles,time_s
0,1244,25,0.0
1,1185,24,4.267692565917969e-05
2,1132,23,7.843971252441406e-05
3,1080,22,0.00010848045349121094
4,1030,21,0.00013685226440429688
5,981,20,0.00016260147094726562
6,933,19,0.0001919269561767578
7,891,18,0.0002224445343017578
8,853,17,0.0002589225769042969
9,815,16,0.0002834796905517578
10,780,15,0.00031185150146484375
11,749,14,0.00035834312438964844
12,723,13,0.0003972053527832031
13,697,12,0.00041866302490234375
14,671,11,0.00043964385986328125
15,650,10,0.0004928112030029297
16,634,9,0.0005338191986083984
