iteration,distance,nb_vehicles,time_s
0,4972,100,0.0
1,4892,99,0.00029730796813964844
2,4814,98,0.0004916191101074219
3,4740,97,0.0006229877471923828
4,4672,96,0.0007450580596923828
5,4604,95,0.0008656978607177734
6,4536,94,0.0009849071502685547
7,4473,93,0.0011544227600097656
8,4410,92,0.001291513442993164
9,4348,91,0.0014255046844482422
10,4286,90,0.0015747547149658203
11,4225,89,0.0017561912536621094
12,4166,88,0.0018944740295410156
13,4107,87,0.002040863037109375
14,4048,86,0.00217437744140625
15,3990,85,0.0023009777069091797
16,3932,84,0.0024302005767822266
17,3877,83,0.0026350021362304688
18,3824,82,0.002801179885864258
19,3771,81,0.002951383590698242
20,3718,80,0.0031120777130126953
21,3665,79,0.0032656192779541016
22,3615,78,0.0034902095794677734
23,3565,77,0.003630399703979492
24,3515,76,0.0037543773651123047
25,3466,75,0.003915548324584961
26,3417,74,0.004074573516845703
27,3370,73,0.004265308380126953
28,3323,72,0.004419088363647461
29,3277,71,0.004557371139526367
30,3231,70,0.004679203033447266
31,3185,69,0.00480198860168457
32,3140,68,0.00491786003112793
33,3096,67,0.005021810531616211
34,3052,66,0.005095243453979492
35,3010,65,0.005190849304199219
36,2968,64,0.005276918411254883
37,2926,63,0.005369901657104492
38,2884,62,0.005498170852661133
39,2843,61,0.005950927734375
40,2803,60,0.006269216537475586
41,2763,59,0.006403446197509766
42,2724,58,0.0065267086029052734
43,2685,57,0.006644010543823242
44,2647,56,0.0068399906158447266
45,2610,55,0.007010459899902344
46,2574,54,0.007291316986083984
47,2539,53,0.007411956787109375
48,2504,52,0.007535457611083984
49,2469,51,0.007680177688598633
50,2434,50,0.007811069488525391
51,2400,49,0.00798797607421875
52,2367,48,0.008107423782348633
53,2335,47,0.008264541625976562
54,2304,46,0.00838327407836914
55,2273,45,0.008462667465209961
56,2242,44,0.008571863174438477
57,2212,43,0.008799314498901367
58,2183,42,0.008903980255126953
59,2154,41,0.009093046188354492
60,2130,40,0.009698152542114258
61,2108,39,0.009908914566040039
62,2086,38,0.009996891021728516
63,2068,37,0.010382890701293945
64,2050,36,0.010444402694702148
65,2035,35,0.010680913925170898
66,2022,34,0.010904788970947266
67,2010,33,0.011044740676879883
68,2000,32,0.011274576187133789
