iteration,distance,nb_vehicles,time_s
0,4052,50,0.0
1,3940,49,7.748603820800781e-05
2,3833,48,0.0001366138458251953
3,3731,47,0.0001876354217529297
4,3631,46,0.00023293495178222656
5,3534,45,0.00028443336486816406
6,3440,44,0.00033283233642578125
7,3347,43,0.0003752708435058594
8,3259,42,0.00041604042053222656
9,3171,41,0.0004565715789794922
10,3084,40,0.0005011558532714844
11,2999,39,0.00054168701171875
12,2918,38,0.0005824565887451172
13,2838,37,0.0006203651428222656
14,2760,36,0.0006575584411621094
15,2683,35,0.0006966590881347656
16,2607,34,0.000732421875
17,2532,33,0.0007815361022949219
18,2458,32,0.0008177757263183594
19,2385,31,0.0008571147918701172
20,2312,30,0.0008931159973144531
21,2240,29,0.0009326934814453125
22,2168,28,0.0009670257568359375
23,2096,27,0.0010068416595458984
24,2025,26,0.001041412353515625
25,1955,25,0.0010759830474853516
26,1885,24,0.001119852066040039
27,1815,23,0.0011620521545410156
28,1746,22,0.00119781494140625
29,1677,21,0.0012333393096923828
30,1608,20,0.0012712478637695312
31,1541,19,0.0013086795806884766
32,1474,18,0.001341104507446289
33,1409,17,0.0013911724090576172
34,1345,16,0.0014274120330810547
35,1284,15,0.0014810562133789062
36,1224,14,0.0015094280242919922
