iteration,distance,nb_vehicles,time_s
0,1882,25,0.0
1,1794,24,4.124641418457031e-05
2,1707,23,7.534027099609375e-05
3,1627,22,0.00010848045349121094
4,1549,21,0.0001373291015625
5,1472,20,0.00016498565673828125
6,1396,19,0.00019049644470214844
7,1322,18,0.00021505355834960938
8,1252,17,0.0002453327178955078
9,1182,16,0.000270843505859375
10,1112,15,0.00030112266540527344
11,1043,14,0.000324249267578125
12,975,13,0.00035119056701660156
13,908,12,0.0003814697265625
14,844,11,0.00041556358337402344
15,783,10,0.00045037269592285156
16,722,9,0.0004734992980957031
