iteration,distance,nb_vehicles,time_s
0,2412,50,0.0
1,2334,49,8.559226989746094e-05
2,2257,48,0.00017023086547851562
3,2181,47,0.0002148151397705078
4,2107,46,0.0002574920654296875
5,2035,45,0.0003044605255126953
6,1964,44,0.0003504753112792969
7,1894,43,0.00039505958557128906
8,1825,42,0.0004372596740722656
9,1758,41,0.00048351287841796875
10,1693,40,0.0005261898040771484
11,1629,39,0.0005679130554199219
12,1565,38,0.0006079673767089844
13,1502,37,0.00064849853515625
14,1440,36,0.0006852149963378906
15,1397,35,0.0007295608520507812
16,1354,34,0.0007660388946533203
17,1312,33,0.0008025169372558594
18,1272,32,0.0008404254913330078
19,1234,31,0.0008897781372070312
20,1196,30,0.0009360313415527344
21,1158,29,0.0009722709655761719
22,1121,28,0.0010089874267578125
23,1084,27,0.0010442733764648438
24,1047,26,0.0010828971862792969
25,1010,25,0.001119852066040039
26,974,24,0.0011560916900634766
27,938,23,0.0011889934539794922
28,902,22,0.0012216567993164062
29,867,21,0.0012538433074951172
30,832,20,0.001287221908569336
31,799,19,0.0013492107391357422
32,766,18,0.0013844966888427734
33,734,17,0.0014264583587646484
34,703,16,0.0014700889587402344
35,672,15,0.0014989376068115234
36,642,14,0.0015506744384765625
37,612,13,0.0015799999237060547
38,582,12,0.0016131401062011719
39,554,11,0.0016658306121826172
40,528,10,0.0017170906066894531
41,506,9,0.001775979995727539
42,486,8,0.0018134117126464844
43,466,7,0.0018448829650878906
